"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-02-28,"Shroyer Park","OH","Dayton","Montgomery","Dayton",3396,95200,0,-0.00104931794333683,-0.0165289256198347,-0.0103828725776465,-0.0184614684669561,"2005-07","2005-Q3",116200,-0.180722891566265,"2001-08"
2015-02-28,"South Lake Morton","FL","Lakeland","Polk","Lakeland",3397,141900,-0.00769230769230769,-0.00210970464135021,0.207659574468085,-0.00824854958683308,-0.00782700649385482,"2006-06","2006-Q2",206700,-0.313497822931785,"2004-08"
2015-02-28,"Northwood","FL","Miami-Fort Lauderdale","Palm Beach","West Palm Beach",3398,64000,0.0158730158730159,0.0423452768729642,0.292929292929293,0.0292812034768057,-0.0620144915665749,"2007-01","2007-Q1",167900,-0.61882072662299,
2015-02-28,"Hayfield Dundee","KY","Louisville/Jefferson County","Jefferson","Louisville",3399,197300,0.0071465033180194,0.00817577925396014,-0.0232673267326733,0.0173952415764096,0.0180387618865283,"2014-03","2014-Q1",202200,-0.0242334322453017,"2013-09"
2015-02-28,"Trilogy","AZ","Phoenix","Maricopa","Gilbert",3400,299500,0.00234270414993307,0.00875715729201751,0.0285027472527473,0.0494336360064542,0.0139322199968981,"2006-03","2006-Q1",354500,-0.155148095909732,"2005-06"
2015-02-28,"Laurelhurst","CA","Los Angeles","Orange","Santa Ana",3401,438000,0.00481761871988988,0.00597152044097382,0.0488505747126437,0.0560285374340006,-0.0213318660620639,"2006-12","2006-Q4",645700,-0.321666408548862,"2004-05"
2015-02-28,"University District","MI","Detroit","Wayne","Detroit",3402,96400,0.0168776371308017,0.0770949720670391,0.177045177045177,0.0059125742997912,-0.0718103721332963,"2002-12","2002-Q4",205100,-0.529985372988786,
2015-02-28,"Mariners Village","FL","Orlando","Orange","Orlando",3403,170800,0.00648202710665881,0.0112492599171107,0.0648379052369077,0.0106355488326602,-0.014319696905015,"2006-06","2006-Q2",266500,-0.359099437148218,"2004-06"
2015-02-28,"Prides Crossing","CO","Denver","Arapahoe","Aurora",3404,287100,0.016283185840708,0.0493421052631579,0.166598943518895,0.0614265546420449,0.0177842130889285,"2015-02","2015-Q1",287100,0,"2015-02"
2015-02-28,"Chelsea-Travis","NY","New York","Richmond","New York",3405,376800,0.000796812749003984,-0.000265322366675511,-0.00475435816164818,0.00283715283063923,0.00592081228656771,"2006-11","2006-Q4",418700,-0.10007165034631,"2005-06"
2015-02-28,"Glencarlyn","VA","Washington","Arlington","Arlington",3406,579300,0.00155601659751037,0.00381216426962398,-0.0317566438241685,0.0250067219948402,0.0134202007002464,"2014-02","2014-Q1",598300,-0.0317566438241685,"2013-10"
2015-02-28,"Dupont Park","DC","Washington","District of Columbia","Washington",3407,385200,0.00495695277850248,0.0131509731720147,0.119442022667829,0.0454767564518856,0.0221876648509807,"2015-02","2015-Q1",385200,0,"2015-02"
2015-02-28,"Winton Place","OH","Cincinnati","Hamilton","Cincinnati",3408,64000,0,0.00946372239747634,0.00628930817610063,0.00443335943950474,-0.0260122443124629,"2004-10","2004-Q4",84500,-0.242603550295858,"1999-05"
2015-02-28,"Lake Edge","WI","Madison","Dane","Madison",3409,166100,0.00180940892641737,-0.000601684717208183,-0.00419664268585132,-0.000360837236151323,0.002750362379075,"2007-05","2007-Q2",175700,-0.0546385885031303,"2005-10"
2015-02-28,"Indian Beach-Sapphire Shores","FL","Sarasota","Sarasota","Sarasota",3410,275900,0.000362581580855693,0.00766983199415632,0.0931061806656101,0.0487174340280607,-0.0165776137779697,"2005-12","2005-Q4",447100,-0.382912100201297,"2004-07"
2015-02-28,"Edgewater Glen","IL","Chicago","Cook","Chicago",3411,458000,-0.00348128807658834,-0.0414399330263709,-0.0810593900481541,0.0104973235551982,-0.00451466439425141,"2006-05","2006-Q2",540500,-0.15263644773358,"2004-11"
2015-02-28,"Troy Hill","PA","Pittsburgh","Allegheny","Pittsburgh",3412,52600,0.00381679389312977,0.0154440154440154,0,-0.00597503578885372,0.00270130072542085,"2010-08","2010-Q3",56400,-0.0673758865248227,"2009-07"
2015-02-28,"College Hill","OH","Dayton","Montgomery","Dayton",3413,39600,0,0.0050761421319797,-0.108108108108108,-0.044418442364938,-0.0557782804929036,"2005-03","2005-Q1",70800,-0.440677966101695,
2015-02-28,"Fairgrounds","AZ","Tucson","Pima","Tucson",3414,71000,0.00424328147100424,0.0171919770773639,-0.00140646976090014,-0.0129984638051055,-0.0237589624316705,"2006-12","2006-Q4",111700,-0.364368845120859,"2004-04"
2015-02-28,"West Hills","WA","Spokane","Spokane","Spokane",3415,153600,0,0,-0.0363864491844417,-0.0170596747752172,0.0147335725488515,"2007-11","2007-Q4",180000,-0.146666666666667,"2005-10"
2015-02-28,"Thoroughbred Acres-Kingston","KY","Lexington","Fayette","Lexington",3416,102800,0.00587084148727984,0.0158102766798419,0.0425963488843813,0.00614272483779099,0.0105044090993647,"2015-02","2015-Q1",102800,0,"2015-02"
2015-02-28,"Cherry Street","OK","Tulsa","Tulsa","Tulsa",3417,140000,0.000714796283059328,-0.00213827512473272,0.0542168674698795,0.0342574507282682,0.0319715248550394,"2014-10","2014-Q4",140800,-0.00568181818181818,"2014-09"
2015-02-28,"Las Vistas","AZ","Tucson","Pima","Tucson",3418,70600,0.0172910662824208,0.0811638591117917,0.0762195121951219,-0.020990268306108,-0.0152171276960062,"2007-11","2007-Q4",102500,-0.311219512195122,"2004-10"
2015-02-28,"Lake Como","FL","Orlando","Orange","Orlando",3419,212600,-0.00746965452847806,-0.00561272217025257,-0.0207277752187932,0.0461074224886584,-0.00587345274130469,"2006-04","2006-Q2",284000,-0.251408450704225,"2004-12"
2015-02-28,"Brownsboro Zorn","KY","Louisville/Jefferson County","Jefferson","Louisville",3420,111800,-0.00533807829181495,-0.0132391879964696,-0.0851063829787234,0.0134026224377182,0.0149309046198651,"2014-02","2014-Q1",122200,-0.0851063829787234,"2013-05"
